Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Lemongrass Production,0102800000,Ilocos Norte,,,,,,,0.02,0.33,0.23,0.53,0.1
Overall Lemongrass Production,0102900000,Ilocos Sur,,,,,,,0.01,,0.01,,0.01
Overall Lemongrass Production,0103300000,La Union,0.34,6.7,0.39,7.45,0.43,7.61,0.5,8.08,0.51,7.4,0.25
Overall Lemongrass Production,0105500000,Pangasinan,,,,,,0.04,0.03,0.05,,0.05,0.02
Overall Lemongrass Production,0200900000,Batanes,,,,,,,,,,,
Overall Lemongrass Production,0201500000,Cagayan,,,,,,32.63,0.24,3.45,0.64,0.19,0.38
Overall Lemongrass Production,0203100000,Isabela,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.31,0.01,0.31
Overall Lemongrass Production,0205000000,Nueva Vizcaya,0.15,,0.16,,0.16,0.03,0.15,0.37,0.16,0.32,0.15
Overall Lemongrass Production,0205700000,Quirino,,,,,,,0.23,0.49,0.3,0.42,0.42
Overall Lemongrass Production,0300800000,Bataan,,,,,,,,,,8.51,
Overall Lemongrass Production,0301400000,Bulacan,21.72,11.62,22.6,11.5,24.82,10.85,27.63,10.07,25.93,10.46,13.93
Overall Lemongrass Production,0304900000,Nueva Ecija,,,,,,,0.02,6.2,10.5,8.57,4.62
Overall Lemongrass Production,0305400000,Pampanga,,3.16,,3.17,,3.16,,3.21,1.77,3.22,1.76
Overall Lemongrass Production,0306900000,Tarlac,,,,,,,,,,,
Overall Lemongrass Production,0307100000,Zambales,,,,,,,,0.13,0.04,,
Overall Lemongrass Production,0307700000,Aurora,,,,,,,0.88,0.12,0.67,0.27,0.74
Overall Lemongrass Production,0401000000,Batangas,,,,,,,0.01,2.5,0.09,3.16,
Overall Lemongrass Production,0402100000,Cavite,,,,,,,0.21,0.04,8.67,0.04,8.3
Overall Lemongrass Production,0403400000,Laguna,7.06,6.25,7.08,6.76,10.02,8.08,10.62,12.27,13.85,5.63,8.81
Overall Lemongrass Production,0405600000,Quezon,,,,,,,0.01,26.95,2.0,24.39,
Overall Lemongrass Production,0405800000,Rizal,0.23,4.4,6.2,16.57,11.35,15.0,10.47,13.45,8.11,17.08,1.72
Overall Lemongrass Production,0500500000,Albay,45.38,68.17,52.33,69.38,63.27,63.64,36.04,31.45,31.28,10.07,6.0
Overall Lemongrass Production,0501600000,Camarines Norte,,,,,,0.13,,0.16,,0.21,1.0
Overall Lemongrass Production,0501700000,Camarines Sur,3.02,3.17,3.79,4.25,5.78,3.74,2.99,2.96,14.57,13.24,11.24
Overall Lemongrass Production,0502000000,Catanduanes,0.97,2.26,1.24,2.53,1.39,2.32,1.46,2.12,0.66,2.0,4.74
Overall Lemongrass Production,0504100000,Masbate,1.3,1.92,1.33,1.97,1.36,1.25,1.47,1.41,1.99,1.31,1.34
Overall Lemongrass Production,0506200000,Sorsogon,27.36,8.54,25.22,8.05,27.39,2.48,16.78,0.82,11.46,0.42,2.13
Overall Lemongrass Production,0600400000,Aklan,59.96,41.64,64.33,42.94,66.32,41.5,63.53,42.02,65.23,43.44,17.41
Overall Lemongrass Production,0600600000,Antique,40.95,66.72,41.93,66.47,41.71,66.86,42.61,70.34,42.62,57.67,34.92
Overall Lemongrass Production,0601900000,Capiz,108.8,113.75,115.02,121.19,118.68,68.2,114.87,107.0,116.44,109.32,59.85
Overall Lemongrass Production,0603000000,Iloilo,58.0,89.0,64.0,97.0,70.0,106.05,52.0,78.78,55.48,93.14,30.38
Overall Lemongrass Production,0607900000,Guimaras,42.61,93.84,60.08,100.45,67.49,97.25,67.49,114.21,76.37,136.48,43.94
Overall Lemongrass Production,0701200000,Bohol,15.28,38.22,20.0,40.3,24.78,107.29,143.06,134.86,167.1,120.5,77.25
Overall Lemongrass Production,0702200000,Cebu,168.0,240.77,171.0,261.0,159.5,276.84,102.23,263.86,147.36,259.04,80.43
Overall Lemongrass Production,0802600000,Eastern Samar,0.87,1.0,0.87,1.14,1.16,1.5,1.99,1.43,2.03,1.21,1.08
Overall Lemongrass Production,0803700000,Leyte,1.5,2.18,1.48,2.62,1.37,8.4,26.25,8.55,26.44,8.85,2.4
Overall Lemongrass Production,0804800000,Northern Samar,3.37,3.58,3.86,4.49,3.97,4.44,4.13,4.57,4.4,4.09,2.6
Overall Lemongrass Production,0806000000,Samar (Western Samar),6.98,9.93,9.07,11.3,8.27,10.94,9.1,11.9,13.58,12.62,9.98
Overall Lemongrass Production,0806400000,Southern Leyte,2.82,0.92,1.19,0.9,1.58,1.0,2.84,5.0,11.83,26.87,25.59
Overall Lemongrass Production,0807800000,Biliran,1.96,2.62,2.43,3.76,3.75,3.92,2.32,2.24,2.91,1.85,1.82
Overall Lemongrass Production,0906600000,,,,,,,,0.1,0.06,0.09,0.13,0.05
Overall Lemongrass Production,0907200000,Zamboanga del Norte,2.22,5.8,2.28,7.02,2.82,8.16,3.65,8.63,3.88,9.06,1.22
Overall Lemongrass Production,0907300000,Zamboanga del Sur,17.28,26.21,17.81,27.76,28.08,39.17,25.62,41.62,24.08,21.57,10.8
Overall Lemongrass Production,0907400000,Zamboanga City,14.63,15.77,15.35,16.04,,,,,6.0,10.36,5.61
Overall Lemongrass Production,0908300000,Zamboanga Sibugay,5.64,3.89,5.72,3.54,5.62,3.73,5.77,3.84,6.06,4.38,3.16
Overall Lemongrass Production,1001300000,Bukidnon,33.62,466.76,34.5,469.0,41.09,472.5,55.96,443.5,69.64,436.94,48.68
Overall Lemongrass Production,1001800000,Camiguin,33.33,12.15,39.62,15.13,44.84,17.7,37.1,20.0,52.77,37.51,29.68
Overall Lemongrass Production,1003500000,Lanao del Norte,73.0,109.0,70.5,109.95,74.25,110.65,72.6,112.0,74.2,113.6,6.46
Overall Lemongrass Production,1004200000,Misamis Occidental,15.5,22.2,19.12,27.0,23.07,30.0,23.22,30.61,50.58,32.1,37.93
Overall Lemongrass Production,1004300000,Misamis Oriental,170.0,163.6,171.3,223.77,242.25,205.6,246.17,195.43,245.66,196.37,157.0
Overall Lemongrass Production,1102300000,Davao del Norte,4.0,6.37,4.02,6.78,4.11,6.91,4.04,7.17,4.62,7.56,1.85
Overall Lemongrass Production,1102400000,Davao del Sur,36.85,87.72,37.26,87.53,55.04,124.21,54.82,122.01,46.67,80.22,18.69
Overall Lemongrass Production,1102500000,Davao Oriental,7.12,8.37,8.46,7.53,7.36,8.02,7.92,8.2,7.84,8.58,4.79
Overall Lemongrass Production,1108200000,Davao de Oro (Compostela Valley),7.95,12.66,9.5,13.06,10.2,33.12,15.68,32.04,16.27,33.89,8.79
Overall Lemongrass Production,1108600000,Davao Occidental,0.11,0.13,0.11,0.15,0.15,0.16,0.19,0.17,0.65,0.16,0.21
Overall Lemongrass Production,1130700000,Davao City,16.1,31.54,16.33,34.02,,,,,8.1,19.99,9.73
Overall Lemongrass Production,1204700000,Cotabato (North Cotabato),16.65,14.8,16.88,15.65,17.4,14.34,13.17,13.25,16.94,17.57,9.26
Overall Lemongrass Production,1206300000,South Cotabato,9.54,14.07,10.0,15.5,11.5,18.14,2.13,16.13,9.28,38.41,0.25
Overall Lemongrass Production,1206500000,Sultan Kudarat,5.05,6.5,7.0,6.5,7.44,7.8,7.5,8.5,7.9,8.8,4.2
Overall Lemongrass Production,1208000000,Sarangani,1.53,2.75,1.55,2.79,1.6,2.29,1.61,2.55,1.7,2.6,0.39
Overall Lemongrass Production,1400100000,Abra,,,,,,,,,0.28,,
Overall Lemongrass Production,1401100000,Benguet,,,,,,,,,,,
Overall Lemongrass Production,1402700000,Ifugao,,,,,,,,,,,
Overall Lemongrass Production,1403200000,Kalinga,,,,,,,,,,,
Overall Lemongrass Production,1404400000,Mountain Province,,,,,,,,,,,
Overall Lemongrass Production,1408100000,Apayao,,,,,,,,,0.24,,0.2
Overall Lemongrass Production,1600200000,Agusan del Norte,60.05,71.15,59.19,74.12,66.55,72.13,60.45,72.5,65.95,76.0,14.02
Overall Lemongrass Production,1600300000,Agusan del Sur,7.65,19.25,6.93,19.15,7.17,28.93,12.82,36.48,13.5,36.95,6.63
Overall Lemongrass Production,1606700000,Surigao del Norte,9.0,9.59,5.4,7.42,5.18,11.52,9.57,13.92,19.69,22.91,7.15
Overall Lemongrass Production,1606800000,Surigao del Sur,72.98,69.5,90.23,108.98,164.24,70.16,58.32,27.39,23.24,26.54,21.85
Overall Lemongrass Production,1608500000,Dinagat Islands,3.19,2.06,2.85,1.33,3.24,2.66,7.11,2.94,4.8,3.69,2.18
Overall Lemongrass Production,1630400000,Butuan City,,,,,,,,,,,7.22
Overall Lemongrass Production,1704000000,Marinduque,,,,,,0.1,,0.08,,0.14,
Overall Lemongrass Production,1705100000,Occidental Mindoro,,,,,,,1.2,,,,
Overall Lemongrass Production,1705200000,Oriental Mindoro,0.55,3.05,0.58,3.4,0.46,1.86,0.75,1.9,0.83,2.64,0.84
Overall Lemongrass Production,1705300000,Palawan,2.75,3.83,1.66,2.48,1.99,2.18,1.97,2.31,1.95,2.79,0.64
Overall Lemongrass Production,1705900000,Romblon,,,,,,2.18,2.11,1.94,2.33,3.45,3.56
Overall Lemongrass Production,1731500000,Puerto Princesa City,,,,,,,,,,,0.4
Overall Lemongrass Production,1804500000,Negros Occidental,52.18,299.42,46.0,315.0,47.13,364.01,42.89,395.0,47.05,358.56,23.9
Overall Lemongrass Production,1804600000,Negros Oriental,16.75,32.0,19.0,40.0,21.5,49.0,24.56,27.19,26.51,34.75,17.21
Overall Lemongrass Production,1806100000,Siquijor,5.18,4.9,5.29,5.78,5.18,7.12,6.96,8.0,5.35,11.77,3.71
Overall Lemongrass Production,1830200000,Bacolod City,,,,,,,,,,,0.03
Overall Lemongrass Production,1900700000,Basilan,,1.27,0.14,1.7,0.25,2.88,1.02,1.37,4.14,1.6,0.08
Overall Lemongrass Production,1903600000,Lanao del Sur,46.48,34.05,46.26,34.06,46.15,34.07,19.15,37.15,,37.22,19.17
Overall Lemongrass Production,1907000000,Tawi-Tawi,6.6,8.96,7.49,9.3,7.32,10.2,7.3,10.8,12.8,26.2,20.48
Overall Lemongrass Production,1908700000,Maguindanao del Norte,,,,,,,,,6.25,3.22,1.5
Overall Lemongrass Production,1908800000,Maguindanao del Sur,4.65,4.4,4.77,4.44,4.78,4.5,4.65,4.6,2.5,2.8,1.4
