Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2,2026S1
Overall Mango Production,0102800000,Ilocos Norte,25141.73,57.77,22839.31,48.81,22904.31,39.49,23087.31,37.76,21762.37,37.45,7156.04
Overall Mango Production,0102900000,Ilocos Sur,10513.95,10.62,11967.83,11.54,12711.4,48.97,13089.81,11.03,11618.51,12.08,297.96
Overall Mango Production,0103300000,La Union,14260.53,63.78,13610.35,59.98,12327.44,33.68,18008.37,41.24,16666.15,29.6,2152.64
Overall Mango Production,0105500000,Pangasinan,121535.95,884.75,116678.06,816.41,118194.89,799.52,122879.65,721.32,110034.21,698.56,20961.03
Overall Mango Production,0200900000,Batanes,0.83,,0.35,,0.97,0.15,1.45,,,,
Overall Mango Production,0201500000,Cagayan,6719.72,103.17,6351.63,87.5,7057.8,89.91,7390.12,92.88,6130.44,125.24,5.09
Overall Mango Production,0203100000,Isabela,19907.56,,19865.29,,19797.36,156.82,21316.41,145.72,20349.43,124.21,10.24
Overall Mango Production,0205000000,Nueva Vizcaya,19114.32,,19765.65,,20484.65,175.94,20207.35,33.34,20322.21,104.65,11.42
Overall Mango Production,0205700000,Quirino,1097.89,105.34,1020.41,96.84,1150.32,99.22,1401.87,69.61,1322.11,89.83,1.26
Overall Mango Production,0300800000,Bataan,3276.46,,3506.81,,3747.47,,4218.44,,3473.67,,1393.23
Overall Mango Production,0301400000,Bulacan,7104.86,47.8,7645.92,46.4,8850.27,51.68,9277.22,77.52,9284.04,76.11,4036.48
Overall Mango Production,0304900000,Nueva Ecija,10042.76,,10074.82,,9011.62,200.0,11378.49,144.0,11993.76,,2809.67
Overall Mango Production,0305400000,Pampanga,5284.35,,5565.51,,7922.45,389.13,6598.37,339.47,6751.03,333.68,4660.36
Overall Mango Production,0306900000,Tarlac,2620.59,,2060.87,,1791.15,25.79,2141.59,,2164.46,77.1,1060.88
Overall Mango Production,0307100000,Zambales,19675.02,11.69,18892.78,26.4,20042.88,24.73,15013.6,3.0,16893.72,,16978.34
Overall Mango Production,0307700000,Aurora,5.37,,8.89,0.25,8.69,16.87,76.67,7.61,4.32,9.83,4.03
Overall Mango Production,0401000000,Batangas,31050.6,,32057.38,,35425.36,68.0,31796.4,62.6,28594.58,66.54,1955.87
Overall Mango Production,0402100000,Cavite,2912.04,0.67,3155.63,0.56,3384.04,2.24,4070.22,7.32,1900.17,24.07,122.42
Overall Mango Production,0403400000,Laguna,230.04,,236.41,27.38,237.53,40.48,339.38,30.74,269.53,89.38,53.05
Overall Mango Production,0405600000,Quezon,5829.8,,5542.51,,5952.92,189.75,5425.39,178.21,5392.81,196.23,31.18
Overall Mango Production,0405800000,Rizal,1229.32,141.85,1859.19,130.9,2780.76,157.06,3537.28,187.76,3731.84,248.84,745.36
Overall Mango Production,0500500000,Albay,3.8,2.51,4.4,2.25,4.23,3.56,64.69,9.44,91.2,75.42,12.62
Overall Mango Production,0501600000,Camarines Norte,47.14,991.71,59.88,971.3,64.35,571.42,85.79,308.9,79.96,124.5,0.06
Overall Mango Production,0501700000,Camarines Sur,60.22,10.46,75.26,9.84,87.99,271.64,145.09,71.0,58.46,115.32,20.67
Overall Mango Production,0502000000,Catanduanes,0.04,0.05,0.02,0.17,0.02,0.68,0.19,0.94,0.16,1.6,0.05
Overall Mango Production,0504100000,Masbate,203.06,257.49,218.39,238.91,222.38,222.76,266.43,207.7,232.62,181.9,5.48
Overall Mango Production,0506200000,Sorsogon,145.58,64.94,88.99,52.99,84.44,103.73,122.0,73.42,117.23,95.91,9.88
Overall Mango Production,0600400000,Aklan,1454.34,147.3,1445.15,132.66,1601.06,151.76,1792.48,143.85,1759.08,105.34,8.49
Overall Mango Production,0600600000,Antique,777.42,5.34,783.04,3.7,783.13,5.6,864.09,5.8,1193.36,4.97,212.21
Overall Mango Production,0601900000,Capiz,97.37,69.27,103.27,58.28,97.2,60.3,110.75,77.42,110.17,70.57,10.32
Overall Mango Production,0603000000,Iloilo,25486.43,2074.92,26297.32,1908.09,28701.15,2018.62,28371.73,1951.81,29200.31,2097.27,2941.75
