Commodity Type,ADM2_PCODE,Province,2021S1,2021S2,2022S1,2022S2,2023S1,2023S2,2024S1,2024S2,2025S1,2025S2
Overall Bottle Gourd Production,0102800000,Ilocos Norte,2763.84,434.52,2895.83,459.59,3007.79,442.87,2871.29,444.77,2670.98,493.57
Overall Bottle Gourd Production,0102900000,Ilocos Sur,195.43,908.05,195.69,837.3,161.29,905.43,178.49,897.1,169.15,899.67
Overall Bottle Gourd Production,0103300000,La Union,1249.16,515.43,1303.2,520.41,1223.48,512.19,1172.59,500.25,1213.94,401.38
Overall Bottle Gourd Production,0105500000,Pangasinan,4298.37,354.2,4336.01,358.44,3850.04,356.64,4070.99,342.0,6317.59,336.43
Overall Bottle Gourd Production,0200900000,Batanes,10.2,0.1,12.16,0.73,10.62,1.03,6.5,3.0,7.28,4.1
Overall Bottle Gourd Production,0201500000,Cagayan,3117.51,74.41,3614.5,64.61,3166.17,43.95,2540.0,45.18,2379.05,31.5
Overall Bottle Gourd Production,0203100000,Isabela,3519.07,831.37,3523.61,814.47,3462.28,802.17,3290.74,712.17,3183.5,670.18
Overall Bottle Gourd Production,0205000000,Nueva Vizcaya,186.04,61.18,187.38,51.58,238.69,80.06,213.04,30.72,225.88,29.25
Overall Bottle Gourd Production,0205700000,Quirino,101.95,73.53,116.36,84.65,113.68,85.27,104.26,85.83,109.15,83.98
Overall Bottle Gourd Production,0300800000,Bataan,109.1,2.75,119.35,2.68,142.14,2.62,124.31,3.52,101.08,3.81
Overall Bottle Gourd Production,0301400000,Bulacan,1673.79,716.89,2201.58,758.88,2287.11,758.93,2253.22,696.45,2312.25,701.15
Overall Bottle Gourd Production,0304900000,Nueva Ecija,5199.7,1411.97,5340.99,1353.46,5173.68,1219.67,4253.49,1110.53,4510.3,963.44
Overall Bottle Gourd Production,0305400000,Pampanga,876.64,101.47,958.68,102.56,919.8,110.5,1032.5,108.21,1000.93,113.04
Overall Bottle Gourd Production,0306900000,Tarlac,100.77,134.4,102.75,130.65,93.57,132.84,98.34,135.0,108.12,130.55
Overall Bottle Gourd Production,0307100000,Zambales,775.2,98.16,849.81,83.82,866.1,87.75,643.04,30.09,32.47,31.02
Overall Bottle Gourd Production,0307700000,Aurora,73.02,19.5,100.35,29.56,119.25,23.75,89.46,25.15,76.24,17.6
Overall Bottle Gourd Production,0401000000,Batangas,2975.55,3218.96,2500.59,2902.33,2994.25,2260.0,2005.72,2007.15,2212.95,1849.13
Overall Bottle Gourd Production,0402100000,Cavite,1633.77,499.87,1633.95,450.23,1675.24,320.69,1643.93,517.68,1652.78,490.83
Overall Bottle Gourd Production,0403400000,Laguna,1399.62,542.71,1292.8,647.96,1310.64,499.34,1286.41,462.63,1314.86,452.92
Overall Bottle Gourd Production,0405600000,Quezon,4319.16,2035.23,4492.48,2281.04,4499.85,2249.8,4404.84,2157.13,4377.69,2055.75
Overall Bottle Gourd Production,0405800000,Rizal,91.78,4.41,88.12,4.18,98.87,14.76,94.14,16.4,95.68,28.9
Overall Bottle Gourd Production,0500500000,Albay,217.68,332.24,231.14,400.07,244.79,331.28,223.98,160.34,275.26,284.6
Overall Bottle Gourd Production,0501600000,Camarines Norte,635.17,86.25,823.51,69.04,617.05,7.01,545.63,12.12,262.56,9.89
Overall Bottle Gourd Production,0501700000,Camarines Sur,41.32,27.44,41.8,17.88,37.03,20.46,137.67,133.82,183.51,231.84
Overall Bottle Gourd Production,0502000000,Catanduanes,96.09,39.78,70.47,37.43,67.15,37.9,106.9,15.37,32.59,17.44
Overall Bottle Gourd Production,0504100000,Masbate,346.91,558.52,380.37,542.23,335.72,473.17,318.39,400.0,152.54,397.3
Overall Bottle Gourd Production,0506200000,Sorsogon,115.32,66.4,112.97,60.05,100.61,53.08,83.72,21.24,74.26,31.36
Overall Bottle Gourd Production,0600400000,Aklan,18.21,11.29,17.33,13.39,17.95,10.53,17.82,11.69,20.45,22.93
Overall Bottle Gourd Production,0600600000,Antique,19.17,17.4,18.36,16.87,17.81,24.16,19.1,22.4,18.74,14.83
Overall Bottle Gourd Production,0601900000,Capiz,200.1,197.23,204.0,210.84,210.52,203.0,201.6,187.0,199.5,182.88
Overall Bottle Gourd Production,0603000000,Iloilo,177.87,180.98,164.05,177.06,157.62,173.06,153.5,153.03,166.74,179.4
Overall Bottle Gourd Production,0607900000,Guimaras,34.94,78.19,38.87,81.97,42.23,78.08,40.32,99.7,48.77,117.68
Overall Bottle Gourd Production,0701200000,Bohol,28.0,67.16,24.28,73.65,27.15,87.4,32.63,84.76,81.0,79.64
Overall Bottle Gourd Production,0702200000,Cebu,690.6,883.08,660.0,980.0,695.89,1002.68,637.27,967.11,635.67,695.81
Overall Bottle Gourd Production,0802600000,Eastern Samar,2.93,9.12,2.94,9.26,3.65,12.89,7.48,14.54,7.65,14.46
Overall Bottle Gourd Production,0803700000,Leyte,1177.19,683.85,1102.32,773.16,750.89,773.13,750.96,774.0,730.54,756.7
Overall Bottle Gourd Production,0804800000,Northern Samar,35.15,51.28,37.06,55.59,41.0,54.75,41.0,51.4,40.45,52.16
Overall Bottle Gourd Production,0806000000,Samar (Western Samar),345.48,355.87,351.74,417.89,425.19,432.55,397.38,437.73,415.44,425.35
Overall Bottle Gourd Production,0806400000,Southern Leyte,61.34,42.46,31.34,42.18,39.86,44.05,42.38,35.44,21.25,25.04
Overall Bottle Gourd Production,0807800000,Biliran,113.0,162.0,102.29,144.29,106.71,124.29,71.42,94.74,96.7,78.3
Overall Bottle Gourd Production,0906600000,,44.5,179.0,44.9,178.5,45.0,180.0,44.2,178.0,44.88,185.13
Overall Bottle Gourd Production,0907200000,Zamboanga del Norte,136.67,498.51,153.46,500.3,136.05,462.36,129.23,256.7,115.23,290.22
Overall Bottle Gourd Production,0907300000,Zamboanga del Sur,119.66,193.13,127.04,194.11,1226.47,1363.24,1056.17,1393.63,464.25,110.43
Overall Bottle Gourd Production,0907400000,Zamboanga City,1031.54,1348.71,1043.35,1371.28,,,,,126.62,1112.26
Overall Bottle Gourd Production,0908300000,Zamboanga Sibugay,59.52,137.54,60.34,131.29,53.52,128.1,51.64,126.38,54.76,112.59
Overall Bottle Gourd Production,1001300000,Bukidnon,11.68,214.07,11.32,211.0,12.8,214.11,11.19,203.45,12.0,201.89
Overall Bottle Gourd Production,1001800000,Camiguin,10.21,23.54,9.64,34.03,10.88,24.0,10.51,26.15,11.83,18.34
Overall Bottle Gourd Production,1003500000,Lanao del Norte,481.0,1035.25,479.0,1043.0,478.0,1039.48,474.0,1042.5,472.6,703.0
Overall Bottle Gourd Production,1004200000,Misamis Occidental,383.0,176.1,401.83,187.18,397.22,195.25,377.36,189.98,390.2,192.03
Overall Bottle Gourd Production,1004300000,Misamis Oriental,109.86,1566.75,123.76,1832.17,109.16,1757.0,4.88,1728.14,4.67,1674.77
Overall Bottle Gourd Production,1102300000,Davao del Norte,356.39,573.9,348.0,577.12,347.99,596.19,340.63,602.08,333.34,646.12
Overall Bottle Gourd Production,1102400000,Davao del Sur,117.57,191.32,117.4,175.55,318.26,445.52,314.93,446.25,198.27,152.43
Overall Bottle Gourd Production,1102500000,Davao Oriental,301.97,499.38,287.83,517.01,294.91,314.05,300.67,314.23,303.51,505.88
Overall Bottle Gourd Production,1108200000,Davao de Oro (Compostela Valley),179.5,199.94,177.06,199.47,182.02,194.21,174.83,188.72,169.17,186.19
Overall Bottle Gourd Production,1108600000,Davao Occidental,39.04,82.9,37.38,85.34,36.72,86.49,34.54,84.76,33.5,86.95
Overall Bottle Gourd Production,1130700000,Davao City,193.12,244.46,202.95,259.48,,,,,115.69,236.84
Overall Bottle Gourd Production,1204700000,Cotabato (North Cotabato),138.48,264.11,135.31,231.35,122.36,199.77,73.24,133.49,110.99,111.92
Overall Bottle Gourd Production,1206300000,South Cotabato,67.37,61.88,74.63,96.1,83.37,98.98,79.72,143.6,56.99,117.56
Overall Bottle Gourd Production,1206500000,Sultan Kudarat,256.16,266.51,264.13,266.41,262.55,272.72,240.91,271.62,256.87,293.21
Overall Bottle Gourd Production,1208000000,Sarangani,56.0,184.0,56.62,186.0,56.7,174.0,50.0,183.0,52.12,179.0
Overall Bottle Gourd Production,1400100000,Abra,915.35,17.8,921.88,16.9,860.95,16.01,615.0,21.62,705.0,46.35
Overall Bottle Gourd Production,1401100000,Benguet,,,,,,0.02,,,,
Overall Bottle Gourd Production,1402700000,Ifugao,124.15,5.4,127.23,5.6,149.6,6.73,5.3,4.9,5.01,3.38
Overall Bottle Gourd Production,1403200000,Kalinga,12.21,2.86,16.07,3.37,19.31,3.2,17.63,3.1,17.0,2.75
Overall Bottle Gourd Production,1404400000,Mountain Province,,,,,,,,,,
Overall Bottle Gourd Production,1408100000,Apayao,10.42,9.0,11.67,9.52,15.12,8.93,15.5,8.58,15.17,8.3
Overall Bottle Gourd Production,1600200000,Agusan del Norte,205.8,293.13,171.96,312.55,209.0,298.9,196.69,296.14,200.7,305.99
