Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Irrigated Palay,Region I (Ilocos Region),0102800000,Ilocos Norte,286064.6,286685.5,289895.0,292835.5,299859.8,41360.0
Irrigated Palay,Region I (Ilocos Region),0102900000,Ilocos Sur,161461.0,161888.83,162747.0,157265.0,150517.0,25740.0
Irrigated Palay,Region I (Ilocos Region),0103300000,La Union,102738.0,110699.51,112205.13,111784.57,112392.57,27014.77
Irrigated Palay,Region I (Ilocos Region),0105500000,Pangasinan,829477.0,845801.0,856501.03,841488.0,839928.97,243170.0
Irrigated Palay,Region II (Cagayan Valley),0200900000,Batanes,0.0,0.0,0.0,0.0,0.0,0.0
Irrigated Palay,Region II (Cagayan Valley),0201500000,Cagayan,897380.0,909003.0,944681.0,888425.0,917540.0,79057.0
Irrigated Palay,Region II (Cagayan Valley),0203100000,Isabela,1366983.53,1395376.56,1407282.65,1389630.81,1434238.77,235240.44
Irrigated Palay,Region II (Cagayan Valley),0205000000,Nueva Vizcaya,298907.0,276919.63,289970.89,282025.9,294161.4,50771.0
Irrigated Palay,Region II (Cagayan Valley),0205700000,Quirino,117388.0,108501.63,109950.73,94507.16,104798.89,25937.09
Irrigated Palay,Region III (Central Luzon),0300800000,Bataan,116003.05,114451.46,108184.07,106129.43,105191.85,41438.75
Irrigated Palay,Region III (Central Luzon),0301400000,Bulacan,326677.64,363362.65,340854.32,295751.0,323853.0,86157.0
Irrigated Palay,Region III (Central Luzon),0304900000,Nueva Ecija,1822245.97,1754296.11,1820369.54,1761056.05,1801091.96,315000.7
Irrigated Palay,Region III (Central Luzon),0305400000,Pampanga,476974.6,474339.44,463526.28,421586.75,418908.75,164668.68
Irrigated Palay,Region III (Central Luzon),0306900000,Tarlac,585616.81,586344.56,592478.23,603758.0,607263.45,182346.15
Irrigated Palay,Region III (Central Luzon),0307100000,Zambales,117485.16,102020.84,105965.82,106863.09,117695.44,26186.0
Irrigated Palay,Region III (Central Luzon),0307700000,Aurora,110260.0,101636.0,96764.12,81594.1,81181.11,10185.17
Irrigated Palay,Region IV-A (CALABARZON),0401000000,Batangas,26724.84,27369.61,32418.66,17188.99,20716.0,2244.0
Irrigated Palay,Region IV-A (CALABARZON),0402100000,Cavite,27089.66,22744.58,20668.09,15205.98,18818.75,3378.65
Irrigated Palay,Region IV-A (CALABARZON),0403400000,Laguna,116832.31,124491.01,142053.67,111209.66,163558.96,22646.08
Irrigated Palay,Region IV-A (CALABARZON),0405600000,Quezon,127357.0,113964.0,132266.0,94284.44,102209.85,19154.0
Irrigated Palay,Region IV-A (CALABARZON),0405800000,Rizal,21782.16,21752.86,21519.02,17157.82,16885.69,1614.18
Irrigated Palay,Region V (Bicol Region),0500500000,Albay,190727.0,193457.0,196126.35,174048.8,177262.61,32582.0
Irrigated Palay,Region V (Bicol Region),0501600000,Camarines Norte,79206.88,73657.05,71828.77,58883.1,61204.01,10585.32
Irrigated Palay,Region V (Bicol Region),0501700000,Camarines Sur,536442.0,514860.0,503853.0,493475.0,495077.0,113730.0
Irrigated Palay,Region V (Bicol Region),0502000000,Catanduanes,13089.49,12804.97,8227.67,8653.2,11668.5,2043.45
Irrigated Palay,Region V (Bicol Region),0504100000,Masbate,39992.0,35166.0,36286.2,31771.11,43585.0,13912.0
Irrigated Palay,Region V (Bicol Region),0506200000,Sorsogon,113741.0,109348.45,106718.75,92603.66,80505.44,8237.07
Irrigated Palay,Region VI (Western Visayas),0600400000,Aklan,59082.25,63292.57,50760.5,46855.0,43838.0,18259.63
