Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Cabbage Production,0102800000,Ilocos Norte,160.04,169.63,175.09,162.47,223.46,394.29
Overall Cabbage Production,0102900000,Ilocos Sur,3039.1,3053.7,3076.1,3168.6,3199.75,2119.7
Overall Cabbage Production,0103300000,La Union,,,0.65,,2.11,
Overall Cabbage Production,0105500000,Pangasinan,,,,,,
Overall Cabbage Production,0200900000,Batanes,20.62,29.24,39.47,38.61,42.49,22.78
Overall Cabbage Production,0201500000,Cagayan,608.97,671.23,841.18,842.36,877.95,811.15
Overall Cabbage Production,0203100000,Isabela,1.6,0.63,0.48,0.3,0.25,0.12
Overall Cabbage Production,0205000000,Nueva Vizcaya,762.88,870.35,965.95,5012.2,4506.87,1026.17
Overall Cabbage Production,0205700000,Quirino,38.94,38.32,37.84,35.36,35.9,72.0
Overall Cabbage Production,0300800000,Bataan,,,,,,
Overall Cabbage Production,0301400000,Bulacan,,,,,,
Overall Cabbage Production,0304900000,Nueva Ecija,,,,,,
Overall Cabbage Production,0305400000,Pampanga,,,,,,
Overall Cabbage Production,0306900000,Tarlac,,,,,,
Overall Cabbage Production,0307100000,Zambales,,,,,,
Overall Cabbage Production,0307700000,Aurora,,,,,,
Overall Cabbage Production,0401000000,Batangas,,0.1,,,,
Overall Cabbage Production,0402100000,Cavite,,,0.13,0.13,1.31,
Overall Cabbage Production,0403400000,Laguna,409.25,635.19,610.49,404.86,282.85,146.6
Overall Cabbage Production,0405600000,Quezon,112.68,238.02,334.46,602.13,641.83,253.66
Overall Cabbage Production,0405800000,Rizal,,,0.06,0.65,0.2,
Overall Cabbage Production,0500500000,Albay,73.62,66.65,35.38,7.1,,
Overall Cabbage Production,0501600000,Camarines Norte,,,0.36,,,
Overall Cabbage Production,0501700000,Camarines Sur,0.13,1.81,7.71,7.71,0.45,
Overall Cabbage Production,0502000000,Catanduanes,,,,,,
Overall Cabbage Production,0504100000,Masbate,,,,,,
Overall Cabbage Production,0506200000,Sorsogon,2.04,,,,,
Overall Cabbage Production,0600400000,Aklan,,,,,21.5,3.62
Overall Cabbage Production,0600600000,Antique,71.31,68.03,66.58,69.1,65.38,13.26
Overall Cabbage Production,0601900000,Capiz,,,,,,
Overall Cabbage Production,0603000000,Iloilo,310.11,320.75,343.24,313.37,678.12,269.39
Overall Cabbage Production,0607900000,Guimaras,,,,,0.03,
Overall Cabbage Production,0701200000,Bohol,70.7,65.22,92.16,59.0,37.08,15.0
Overall Cabbage Production,0702200000,Cebu,5353.81,5906.0,6561.29,8489.66,8093.54,2511.47
Overall Cabbage Production,0802600000,Eastern Samar,,,,,,
Overall Cabbage Production,0803700000,Leyte,75.07,72.25,59.15,58.16,55.78,12.05
Overall Cabbage Production,0804800000,Northern Samar,,,,,,
Overall Cabbage Production,0806000000,Samar (Western Samar),,,8.72,8.72,,
Overall Cabbage Production,0806400000,Southern Leyte,7.07,5.32,6.39,5.17,0.1,0.07
