Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Moringa Production,0102800000,Ilocos Norte,342.89,331.16,330.88,333.26,308.55,54.31
Overall Moringa Production,0102900000,Ilocos Sur,1026.2,1127.99,989.53,978.84,970.32,336.53
Overall Moringa Production,0103300000,La Union,280.41,281.5,273.78,270.98,227.35,49.75
Overall Moringa Production,0105500000,Pangasinan,1116.27,1238.87,1206.86,1227.02,1279.87,503.32
Overall Moringa Production,0200900000,Batanes,7.17,8.68,7.9,7.26,8.7,1.88
Overall Moringa Production,0201500000,Cagayan,850.33,857.24,881.6,832.89,852.63,189.25
Overall Moringa Production,0203100000,Isabela,312.52,306.84,297.75,307.65,314.62,77.07
Overall Moringa Production,0205000000,Nueva Vizcaya,278.45,284.41,323.59,284.75,313.28,88.91
Overall Moringa Production,0205700000,Quirino,3.84,4.53,4.65,5.92,7.54,2.46
Overall Moringa Production,0300800000,Bataan,12.51,14.17,16.01,14.24,14.39,3.2
Overall Moringa Production,0301400000,Bulacan,40.1,43.63,36.39,28.02,32.39,14.39
Overall Moringa Production,0304900000,Nueva Ecija,19.23,16.61,15.41,15.32,14.94,0.23
Overall Moringa Production,0305400000,Pampanga,29.48,28.49,28.84,28.55,28.66,12.16
Overall Moringa Production,0306900000,Tarlac,2.26,2.3,2.45,2.57,2.76,1.24
Overall Moringa Production,0307100000,Zambales,11.41,12.11,11.85,25.59,38.61,4.87
Overall Moringa Production,0307700000,Aurora,60.34,69.62,61.27,53.96,48.9,13.5
Overall Moringa Production,0401000000,Batangas,95.83,78.46,109.23,126.55,138.14,54.52
Overall Moringa Production,0402100000,Cavite,0.64,0.5,0.3,0.38,1.0,0.35
Overall Moringa Production,0403400000,Laguna,125.8,113.57,111.04,110.76,107.44,57.47
Overall Moringa Production,0405600000,Quezon,1.59,1.46,1.46,1.69,2.18,0.24
Overall Moringa Production,0405800000,Rizal,1.2,0.7,1.75,4.02,28.24,4.67
Overall Moringa Production,0500500000,Albay,2615.62,2549.8,1586.36,408.31,208.3,57.86
Overall Moringa Production,0501600000,Camarines Norte,224.24,155.26,25.79,23.77,17.33,11.65
Overall Moringa Production,0501700000,Camarines Sur,410.5,440.46,406.46,238.89,186.39,109.93
Overall Moringa Production,0502000000,Catanduanes,66.43,79.5,68.92,52.4,90.19,21.32
Overall Moringa Production,0504100000,Masbate,45.16,45.3,21.15,53.83,63.74,24.07
Overall Moringa Production,0506200000,Sorsogon,279.29,255.29,201.75,126.91,110.98,43.49
Overall Moringa Production,0600400000,Aklan,747.28,791.85,806.0,916.61,862.77,177.02
Overall Moringa Production,0600600000,Antique,435.64,401.35,402.2,402.16,412.77,79.52
Overall Moringa Production,0601900000,Capiz,1387.29,1372.43,1382.25,1216.72,1177.26,307.17
Overall Moringa Production,0603000000,Iloilo,2896.0,2920.0,2942.79,2923.35,2931.06,553.36
Overall Moringa Production,0607900000,Guimaras,338.73,357.12,363.08,391.77,408.87,109.94
Overall Moringa Production,0701200000,Bohol,243.43,217.79,351.8,462.03,492.4,130.15
Overall Moringa Production,0702200000,Cebu,537.97,543.0,562.88,433.7,414.18,111.18
Overall Moringa Production,0802600000,Eastern Samar,1.2,1.68,6.96,7.97,6.93,1.95
Overall Moringa Production,0803700000,Leyte,88.35,82.61,76.11,81.79,82.42,24.0
Overall Moringa Production,0804800000,Northern Samar,49.61,50.64,50.97,50.1,49.04,3.84
Overall Moringa Production,0806000000,Samar (Western Samar),7.48,8.86,10.9,8.83,12.05,5.33
Overall Moringa Production,0806400000,Southern Leyte,12.16,9.29,6.92,19.2,53.66,12.25
Overall Moringa Production,0807800000,Biliran,4.6,5.0,6.12,5.17,4.28,1.3
Overall Moringa Production,0906600000,,,,,0.5,1.18,0.39
Overall Moringa Production,0907200000,Zamboanga del Norte,110.93,115.21,75.63,75.23,78.08,35.51
Overall Moringa Production,0907300000,Zamboanga del Sur,32.75,33.31,1642.11,2355.35,630.91,10.1
Overall Moringa Production,0907400000,Zamboanga City,2554.36,2627.97,,,10.2,3.33
Overall Moringa Production,0908300000,Zamboanga Sibugay,57.94,61.89,65.47,61.03,73.01,4.26
Overall Moringa Production,1001300000,Bukidnon,332.29,332.5,312.92,309.75,122.54,3.35
Overall Moringa Production,1001800000,Camiguin,132.43,137.56,149.37,144.05,169.78,20.03
Overall Moringa Production,1003500000,Lanao del Norte,1367.0,1370.0,1378.0,1377.0,1386.0,559.0
Overall Moringa Production,1004200000,Misamis Occidental,2610.0,2620.92,2627.85,2643.81,2719.17,318.84
Overall Moringa Production,1004300000,Misamis Oriental,2984.75,2836.4,3010.86,2640.27,2628.15,555.2
Overall Moringa Production,1102300000,Davao del Norte,348.72,357.16,356.19,355.63,355.52,71.18
Overall Moringa Production,1102400000,Davao del Sur,1697.83,1698.31,2130.52,2074.01,1633.12,272.05
Overall Moringa Production,1102500000,Davao Oriental,334.8,320.8,233.76,297.16,289.32,77.49
Overall Moringa Production,1108200000,Davao de Oro (Compostela Valley),301.78,290.66,287.77,265.87,264.42,49.97
Overall Moringa Production,1108600000,Davao Occidental,0.08,0.09,0.1,0.14,1.58,7.31
Overall Moringa Production,1130700000,Davao City,406.94,412.97,,,378.91,92.07
Overall Moringa Production,1204700000,Cotabato (North Cotabato),1623.28,1401.98,1000.39,892.5,823.17,35.86
Overall Moringa Production,1206300000,South Cotabato,95.35,100.45,99.31,82.37,116.03,16.11
Overall Moringa Production,1206500000,Sultan Kudarat,447.47,447.74,449.13,454.63,460.49,113.88
Overall Moringa Production,1208000000,Sarangani,343.2,349.25,155.36,233.6,243.9,0.65
Overall Moringa Production,1400100000,Abra,11.09,11.2,19.02,13.66,37.49,
Overall Moringa Production,1401100000,Benguet,,,,3.59,,
Overall Moringa Production,1402700000,Ifugao,,,1.5,1.66,3.62,0.2
Overall Moringa Production,1403200000,Kalinga,1.98,2.74,3.79,4.94,5.33,0.15
Overall Moringa Production,1404400000,Mountain Province,,,,,0.04,0.23
Overall Moringa Production,1408100000,Apayao,4.51,4.3,4.6,5.31,5.44,0.34
Overall Moringa Production,1600200000,Agusan del Norte,95.12,89.75,94.8,83.82,104.37,6.85
Overall Moringa Production,1600300000,Agusan del Sur,26.34,25.54,70.91,61.35,152.82,37.76
Overall Moringa Production,1606700000,Surigao del Norte,3.37,2.92,7.85,22.1,30.95,4.79
Overall Moringa Production,1606800000,Surigao del Sur,49.54,54.95,52.75,64.84,54.3,30.36
Overall Moringa Production,1608500000,Dinagat Islands,1.12,1.08,7.03,3.3,3.66,0.09
Overall Moringa Production,1630400000,Butuan City,,,,,,3.53
Overall Moringa Production,1704000000,Marinduque,28.34,33.3,37.56,24.11,19.78,4.54
Overall Moringa Production,1705100000,Occidental Mindoro,1.92,1.93,3.49,3.61,3.23,0.37
Overall Moringa Production,1705200000,Oriental Mindoro,5.76,5.83,6.59,11.95,15.15,4.19
Overall Moringa Production,1705300000,Palawan,77.81,71.11,63.8,70.36,79.48,13.01
Overall Moringa Production,1705900000,Romblon,8.36,9.37,9.95,13.25,14.34,3.3
Overall Moringa Production,1731500000,Puerto Princesa City,,,,,,3.6
Overall Moringa Production,1804500000,Negros Occidental,1745.0,1765.0,2281.1,2113.98,2066.75,766.11
Overall Moringa Production,1804600000,Negros Oriental,2193.0,2210.0,2317.0,1787.63,2049.68,467.97
Overall Moringa Production,1806100000,Siquijor,154.81,155.03,155.4,165.28,169.3,22.76
Overall Moringa Production,1830200000,Bacolod City,,,,,,0.43
Overall Moringa Production,1900700000,Basilan,,,,0.33,2.91,0.06
Overall Moringa Production,1903600000,Lanao del Sur,69.23,69.48,69.62,68.03,73.62,16.85
Overall Moringa Production,1907000000,Tawi-Tawi,2.62,2.9,2.67,3.24,3.38,0.45
Overall Moringa Production,1908700000,Maguindanao del Norte,,,,,28.7,7.5
Overall Moringa Production,1908800000,Maguindanao del Sur,29.45,30.17,30.6,12.16,,
