Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Overall Ube Production,0102800000,Ilocos Norte,72.63,73.83,76.74,77.6,54.77,21.77
Overall Ube Production,0102900000,Ilocos Sur,105.65,104.0,100.03,124.63,127.91,22.68
Overall Ube Production,0103300000,La Union,283.55,284.15,292.69,285.19,310.97,101.66
Overall Ube Production,0105500000,Pangasinan,,,3.18,3.27,3.36,
Overall Ube Production,0200900000,Batanes,185.46,192.94,193.4,124.5,114.9,4.63
Overall Ube Production,0201500000,Cagayan,962.95,1000.18,1041.71,1012.61,1009.9,386.2
Overall Ube Production,0203100000,Isabela,97.34,86.15,80.43,71.57,24.97,18.67
Overall Ube Production,0205000000,Nueva Vizcaya,190.39,188.89,250.75,218.41,235.12,57.03
Overall Ube Production,0205700000,Quirino,126.2,132.65,134.93,135.12,133.36,62.5
Overall Ube Production,0300800000,Bataan,53.55,46.72,45.3,49.13,53.3,
Overall Ube Production,0301400000,Bulacan,261.99,309.76,271.44,21.97,12.22,
Overall Ube Production,0304900000,Nueva Ecija,9.98,10.09,9.5,,,
Overall Ube Production,0305400000,Pampanga,10.22,10.22,10.13,10.24,10.27,1.31
Overall Ube Production,0306900000,Tarlac,5.53,7.07,20.59,6.25,6.72,
Overall Ube Production,0307100000,Zambales,88.38,87.12,45.44,37.95,29.42,12.19
Overall Ube Production,0307700000,Aurora,80.46,58.0,57.8,55.99,169.64,16.16
Overall Ube Production,0401000000,Batangas,317.53,313.56,297.04,237.67,203.16,74.59
Overall Ube Production,0402100000,Cavite,271.53,294.91,235.26,199.18,195.58,23.5
Overall Ube Production,0403400000,Laguna,146.75,164.18,186.0,204.76,291.48,110.42
Overall Ube Production,0405600000,Quezon,861.59,819.75,824.22,841.7,848.89,86.05
Overall Ube Production,0405800000,Rizal,,,20.28,31.08,69.21,9.87
Overall Ube Production,0500500000,Albay,246.81,199.81,168.34,129.3,54.66,
Overall Ube Production,0501600000,Camarines Norte,,,5.64,,,
Overall Ube Production,0501700000,Camarines Sur,1.72,2.09,1.73,1.36,33.1,0.06
Overall Ube Production,0502000000,Catanduanes,1.07,1.23,0.76,1.02,0.51,0.05
Overall Ube Production,0504100000,Masbate,69.35,69.35,33.34,40.43,21.89,17.23
Overall Ube Production,0506200000,Sorsogon,12.23,10.15,11.87,7.32,3.05,0.02
Overall Ube Production,0600400000,Aklan,149.19,142.88,144.55,142.92,129.65,38.25
Overall Ube Production,0600600000,Antique,83.73,82.54,82.71,88.38,81.14,163.16
Overall Ube Production,0601900000,Capiz,41.32,37.73,34.17,31.82,31.07,8.38
Overall Ube Production,0603000000,Iloilo,112.45,106.72,104.88,121.0,116.29,73.94
Overall Ube Production,0607900000,Guimaras,43.44,46.72,45.46,50.11,53.78,16.96
Overall Ube Production,0701200000,Bohol,4825.87,4022.73,3546.77,4763.28,3931.23,1826.84
Overall Ube Production,0702200000,Cebu,209.0,199.5,200.38,196.05,185.01,67.86
Overall Ube Production,0802600000,Eastern Samar,21.24,22.59,24.76,26.89,22.55,6.16
Overall Ube Production,0803700000,Leyte,376.56,401.3,401.34,399.24,388.64,2.03
Overall Ube Production,0804800000,Northern Samar,22.37,22.73,23.75,14.61,12.1,
Overall Ube Production,0806000000,Samar (Western Samar),84.14,95.67,81.04,73.9,51.48,27.0
Overall Ube Production,0806400000,Southern Leyte,10.72,9.3,11.4,12.36,10.31,3.39
Overall Ube Production,0807800000,Biliran,89.5,85.74,78.52,75.95,35.88,12.53
Overall Ube Production,0906600000,,,,,,,
Overall Ube Production,0907200000,Zamboanga del Norte,22.17,22.62,22.86,15.58,15.19,3.48
Overall Ube Production,0907300000,Zamboanga del Sur,138.03,137.56,147.39,198.76,91.08,15.2
Overall Ube Production,0907400000,Zamboanga City,91.83,95.13,,,67.56,17.24
Overall Ube Production,0908300000,Zamboanga Sibugay,46.43,42.76,43.07,42.11,39.83,3.94
Overall Ube Production,1001300000,Bukidnon,29.19,29.75,30.4,27.0,29.13,3.82
Overall Ube Production,1001800000,Camiguin,41.72,64.8,53.1,48.68,59.51,11.69
Overall Ube Production,1003500000,Lanao del Norte,735.85,738.0,747.1,748.0,727.36,215.49
Overall Ube Production,1004200000,Misamis Occidental,146.9,145.69,144.31,140.18,139.81,50.24
Overall Ube Production,1004300000,Misamis Oriental,109.7,138.11,156.28,118.02,136.25,17.57
Overall Ube Production,1102300000,Davao del Norte,44.34,45.51,44.89,44.83,43.67,5.48
Overall Ube Production,1102400000,Davao del Sur,160.85,157.01,188.62,186.78,173.7,38.23
Overall Ube Production,1102500000,Davao Oriental,,,,,0.36,
Overall Ube Production,1108200000,Davao de Oro (Compostela Valley),52.52,47.54,45.78,40.48,39.43,4.51
Overall Ube Production,1108600000,Davao Occidental,2.78,2.84,2.63,2.56,2.48,0.93
Overall Ube Production,1130700000,Davao City,55.13,54.74,,,7.74,3.92
Overall Ube Production,1204700000,Cotabato (North Cotabato),84.58,64.1,54.24,32.43,21.82,1.24
